ID,country,year,assignment
153,Philippines,2018,Asian SEA4
4A-22-104,Philippines,2022,Asian SEA4
4A-22-171,Philippines,2022,Asian SEA4
4A-22-203,Philippines,2022,Asian SEA4
4A-22-40,Philippines,2022,Asian SEA4
4A-22-98,Philippines,2022,Asian SEA4
4B-21-126,Philippines,2021,Asian SEA4
4B-21-29,Philippines,2021,Asian SEA4
4B-21-310,Philippines,2021,Asian SEA4
4B-21-35,Philippines,2021,Asian SEA4
4B-21-412,Philippines,2021,Asian SEA4
4B-21-421,Philippines,2021,Asian SEA4
4B-21-423,Philippines,2021,Asian SEA4
4B-21-528,Philippines,2021,Asian SEA4
4B-21622,Philippines,2022,Asian SEA4
4B-22-114,Philippines,2022,Asian SEA4
4B-22-13,Philippines,2022,Asian SEA4
4B-22-15,Philippines,2022,Asian SEA4
4B-22-16,Philippines,2022,Asian SEA4
4B-22-17,Philippines,2022,Asian SEA4
4B-22-20,Philippines,2022,Asian SEA4
4B-22-21,Philippines,2022,Asian SEA4
4B-22-28,Philippines,2022,Asian SEA4
4B-22-30,Philippines,2022,Asian SEA4
4B-22-31,Philippines,2022,Asian SEA4
4B-22-35,Philippines,2022,Asian SEA4
4B-22-37,Philippines,2022,Asian SEA4
4B-22-39,Philippines,2022,Asian SEA4
4B-22-40,Philippines,2022,Asian SEA4
4B-22-41,Philippines,2022,Asian SEA4
4B-22-42,Philippines,2022,Asian SEA4
4B-22-44,Philippines,2022,Asian SEA4
4B-22-45,Philippines,2022,Asian SEA4
4B-23-01,Philippines,2023,Asian SEA4
4B-23-02,Philippines,2023,Asian SEA4
4B-23-03,Philippines,2023,Asian SEA4
4B-23-04,Philippines,2023,Asian SEA4
4B-23-05,Philippines,2023,Asian SEA4
4B-23-06,Philippines,2023,Asian SEA4
4B-23-07,Philippines,2023,Asian SEA4
4B-23-11,Philippines,2023,Asian SEA4
4B-23-12,Philippines,2023,Asian SEA4
4B-23-13,Philippines,2023,Asian SEA4
4B-23-15,Philippines,2023,Asian SEA4
4B-23-16,Philippines,2023,Asian SEA4
4B-23-17,Philippines,2023,Asian SEA4
4B-23-19,Philippines,2023,Asian SEA4
4B-2422,Philippines,2022,Asian SEA4
4B-2922HM,Philippines,2022,Asian SEA4
4B-2922JG,Philippines,2022,Asian SEA4
H-23-011Sa_11,Philippines,2023,Asian SEA4
H-23-011Sk_12,Philippines,2023,Asian SEA4
R1-21-148,Philippines,2021,Asian SEA4
R10-688,Philippines,2021,Asian SEA4
R10-711,Philippines,2021,Asian SEA4
R10-714,Philippines,2021,Asian SEA4
R10-824,Philippines,2021,Asian SEA4
R10-856,Philippines,2021,Asian SEA4
R10-907,Philippines,2021,Asian SEA4
R10-920,Philippines,2021,Asian SEA4
R10-989,Philippines,2021,Asian SEA4
R10-990,Philippines,2021,Asian SEA4
R11-21-61,Philippines,2021,Asian SEA4
R11-21-63,Philippines,2021,Asian SEA4
R11-22-002,Philippines,2022,Asian SEA4
R2-081,Philippines,2020,Asian SEA4
R2-22-5302,Philippines,2022,Asian SEA4
R2-22-5814,Philippines,2022,Asian SEA4
R2-22-84711,Philippines,2022,Asian SEA4
R2-22-8924,Philippines,2022,Asian SEA4
R3-731,Philippines,2021,Asian SEA4
R5-22-09,Philippines,2022,Asian SEA4
R5-21-115,Philippines,2021,Asian SEA4
R5-21-119,Philippines,2021,Asian SEA4
R5-21-128,Philippines,2021,Asian SEA4
R5-21-132,Philippines,2021,Asian SEA4
R5-21-136,Philippines,2021,Asian SEA4
R5-21-140,Philippines,2021,Asian SEA4
R5-22-008,Philippines,2022,Asian SEA4
R6-21-4375,Philippines,2021,Asian SEA4
R6-21-4511,Philippines,2021,Asian SEA4
R6-21-4600,Philippines,2021,Asian SEA4
R6-4342,Philippines,2021,Asian SEA4
R6-4568,Philippines,2021,Asian SEA4
R7-21-161,Philippines,2021,Asian SEA4
R9-010,Philippines,2020,Asian SEA4
R9-074,Philippines,2021,Asian SEA4
R9-089,Philippines,2021,Asian SEA4
R9-105,Philippines,2021,Asian SEA4
RADDL1-16-153,Philippines,2016,Asian SEA4
RADDL1-16-166,Philippines,2016,Asian SEA4
RADDL3-1045,Philippines,2015,Asian SEA4
RADDL3-15-172,Philippines,2015,Asian SEA4
RADDL3-16-1008,Philippines,2016,Asian SEA4
RADDL3-16-468,Philippines,2016,Asian SEA4
RADDL3-16-521,Philippines,2016,Asian SEA4
RADDL3-16-627,Philippines,2016,Asian SEA4
RADDL3-845,Philippines,2015,Asian SEA4
RADDL5-005,Philippines,2015,Asian SEA4
Z-04-664,Philippines,2004,Asian SEA4
Z-05-102,Philippines,2005,Asian SEA4
Z-05-191,Philippines,2005,Asian SEA4
Z-05-557,Philippines,2005,Asian SEA4
